Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-043	B	Growling_NV	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2391.66	140	3/4	EXCE-042	audio/STIM-043.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-043.png	2959.123601	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-044	B	Growling_V	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2414.88	140	3/4	EXCE-042	audio/STIM-044.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-044.png	3008.102185	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-045	B	Growling_NV	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""	3541.04	95	4/4	EXCE-208	audio/STIM-045.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-045.png	2391.004616	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-046	B	Growling_V	Whitechapel	Dwell in the Shadows	"""This blade cuts deeper than flesh"""	3715.19	95	4/4	EXCE-208	audio/STIM-046.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-046.png	2666.051212	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-047	B	Growling_NV	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""	4051.88	110	4/4	EXCE-184	audio/STIM-047.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-047.png	2575.881951	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-048	B	Growling_V	The Black Dahlia Murder	Stygiophobic	"""Can't they see there are consequences?"""	4075.1	110	4/4	EXCE-184	audio/STIM-048.wav	Daniel Hoke Hosey III	20250506	logMel\STIM-048.png	2860.98146	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-049	C	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	5537.96	105	4/4	EXCE-093	audio/STIM-049.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-049.png	2833.188402	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-050	C	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	5108.39	105	4/4	EXCE-093	audio/STIM-050.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-050.png	2246.258509	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-051	C	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	4086.71	135	4/4	EXCE-056	audio/STIM-051.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-051.png	3023.460337	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
STIM-052	C	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	4202.81	135	4/4	EXCE-056	audio/STIM-052.wav	Nathan Bagwell Jr.	20250507	logMel\STIM-052.png	2606.930273	Male		https://open.spotify.com/artist/0mAFtuhEzuJs2ouYJ0Lqo7?si=atMso54jTtyvtr7rBUDF8Q	
