Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Lyrics	Spotify_URL	MP3_Path	Date_collected	
EXCE-048	Screaming	Suicide Silence	Suicide Silence	24	"Hold Me up, Hold Me Down"	2017	568557	15	5:18	0:58-1:03	"""Laughter is music to me"""	https://open.spotify.com/track/0ALEU5TLR2FANldWTpEgrv?si=3e45b1820b384d5c	excerpts_audio/EXCE-048.mp3	16/3/2025	
EXCE-049	Screaming	Suicide Silence	No Time to Bleed	44	Your Creations	2009	1275056	28	3:59	2:29-2:32	"""Predators to prey"""	https://open.spotify.com/track/34Hhxk8vtVXDcdCJh0MEN8?si=e5f8617c5f91401f	excerpts_audio/EXCE-049.mp3	16/3/2025	
EXCE-050	Screaming	Suicide Silence	No Time to Bleed	44	Something Invisible	2009	1629500	29	2:57	1:13-1:17	"""something fucking invisible"""	https://open.spotify.com/track/3Tsd3rMdsAtihHomXlaBzd?si=bb1508056c8f438d	excerpts_audio/EXCE-050.mp3	16/3/2025	
EXCE-051	Screaming	Suicide Silence	No Time to Bleed	44	Suffer	2009	1598871	30	3:55	2:16-2:20	"""And we'll continue to crush"""	https://open.spotify.com/track/0YRGI02tjctwXgIE9w02ys?si=2a57727fa6ec41dc	excerpts_audio/EXCE-051.mp3	16/3/2025	
EXCE-052	Screaming	Suicide Silence	The Black Crown	49	Cancerous Skies	2012	1573164	27	3:14	2:23-2:27	"""it's tearing up my eyes"""	https://open.spotify.com/track/00YNI6Dix0wGj5iGPswrZr?si=2d1ee19492204d86	excerpts_audio/EXCE-052.mp3	16/3/2025	
EXCE-053	Screaming	Suicide Silence	The Black Crown	49	Smashed	2012	2178704	30	3:06	1:50-1:54	"""every grain of sand, I'll take it back"""	https://open.spotify.com/track/2ktZKla8jpoQVYPxDMuDKM?si=b0fe81aeb9c741d9	excerpts_audio/EXCE-053.mp3	16/3/2025	
EXCE-054	Screaming	Suicide Silence	The Black Crown	49	Cross-Eyed Catastrophe	2012	2022297	29	3:25	0:55-0:59	"""This is what happens when you open that door"""	https://open.spotify.com/track/70Ln0FAfZNxNJFr1WZqEqM?si=e2587435de0b4573	excerpts_audio/EXCE-054.mp3	16/3/2025	
EXCE-055	Clean	Avenged Sevenfold	The Stage	49	Simulation	2016	10852194	36	5:30	2:32-2:38	"""I've questioned all the voices in my head"""	https://open.spotify.com/track/6Rvy686uW4eJPHVCpQoV1G?si=d064c5d88e314f36	excerpts_audio/EXCE-055.mp3	19/3/2025	
EXCE-056	Clean	Avenged Sevenfold	The Stage	49	Higher	2016	13066347	37	6:28	5:32-5:36	"""Meet you in the stars tonight"""	https://open.spotify.com/track/1Zsbwp2D3RUm1gqO5zDEQ6?si=7ee39f033e37425c	excerpts_audio/EXCE-056.mp3	19/3/2025	
EXCE-057	Clean	Avenged Sevenfold	The Stage	49	Femi Paradox	2016	11116434	37	6:30	2:55-3:00	"""Heaven works on borrowed time"""	https://open.spotify.com/track/1rTug7mBtZg0rvG94JJaZj?si=648beacb611a4dc0	excerpts_audio/EXCE-057.mp3	19/3/2025	
EXCE-058	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Breaking Their Hold	2002	2424674	36	1:11	0:41-0:44	"""To keep you down behind your back"""	https://open.spotify.com/track/5MyoidtsejjnjTcwXPXBlo?si=a90f8653fbda4368	excerpts_audio/EXCE-058.mp3	19/3/2025	
EXCE-059	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Forgotten Faces	2002	2703045	36	3:26	1:13-1:17	"""Ninety percent, nothing was done"""	https://open.spotify.com/track/4ZnhD57uwrP2935k2ziLvi?si=dba085a10a9249bb	excerpts_audio/EXCE-059.mp3	19/3/2025	
EXCE-060	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Thin and Thin	2002	2904834	36	4:15	1:31-1:33	"""I'll be there for you"""	https://open.spotify.com/track/5ZOPIDzkfKfLHnqXvOmVlf?si=96d90599cd6a4eaf	excerpts_audio/EXCE-060.mp3	19/3/2025	
EXCE-061	Clean	Avenged Sevenfold	Life Is But a Dream…	58	Easier	2023	5269400	45	3:37	1:05-1:10	"""Bound to the flesh 'till the day I die"""	https://open.spotify.com/track/6qXVuEYcL6M4Yc1zyY5F8D?si=e8196adc30844c6e	excerpts_audio/EXCE-061.mp3	19/3/2025	
EXCE-062	Clean	Avenged Sevenfold	Life Is But a Dream…	58	G	2023	5865159	46	3:37	1:15-1:18	"""Thought about a name that came to me"""	https://open.spotify.com/track/3hpB5SlyESKXrmc6NUNQhd?si=ee0aa92aac0a4a67	excerpts_audio/EXCE-062.mp3	19/3/2025	
EXCE-063	Clean	Avenged Sevenfold	Life Is But a Dream…	58	(D)eath	2023	5861377	47	3:19	0:53-0:58	"""And leave it on the fireplace"""	https://open.spotify.com/track/1CuHu4a51IOR4LXjB5jObB?si=9843176fe56c48b5	excerpts_audio/EXCE-063.mp3	19/3/2025	
EXCE-064	Screaming	Architects	Nightmares	24	A Portrait for the Deceased	2006	196966	18	4:23	2:27-2:30	"""Then come and drown with me"""	https://open.spotify.com/track/5PduwkX8b8xBnysdh1VOIt?si=f37cf8f583944457	excerpts_audio/EXCE-064.mp3	19/3/2025	
EXCE-065	Screaming	Architects	Nightmares	24	The Darkest Tomb	2006	259292	18	3:42	1:26-1:30	"""I know you won't miss"""	https://open.spotify.com/track/69J5plrJXVtwAqYEY1eBfc?si=ae579f05c31f44e9	excerpts_audio/EXCE-065.mp3	19/3/2025	
EXCE-066	Screaming	Architects	Nightmares	24	They'll be Hanging Us Tonight	2006	240127	19	3:31	1:12-1:15	"""They're gaining on us"""	https://open.spotify.com/track/2PwBaePtbJ3YPVdDZU8C0M?si=ef334286b4d64806	excerpts_audio/EXCE-066.mp3	19/3/2025	
EXCE-067	Screaming	Architects	Ruin	25	Save me	2007	282130	17	4:27	2:21-2:26	"""hands around my fucking neck"""	https://open.spotify.com/track/4OcGoMEswyzR8s9ZJjDMPX?si=4ec9c1ce038542bb	excerpts_audio/EXCE-067.mp3	19/3/2025	
EXCE-068	Screaming	Architects	Ruin	25	I Can't See the Light	2007	274811	17	4:23	1:39-1:42	"""to let you back in"""	https://open.spotify.com/track/1wFbhX7yT3K5ciWs6ymy4V?si=dacec864a6df40b3	excerpts_audio/EXCE-068.mp3	19/3/2025	
EXCE-069	Screaming	Architects	Ruin	25	Low	2007	294465	17	2:23	1:42-1:47	"""But you're so far away now"""	https://open.spotify.com/track/6UcoRtkw8JmhOaY8E5vRiM?si=6090dda273664395	excerpts_audio/EXCE-069.mp3	19/3/2025	
EXCE-070	Screaming	Architects	The Here and Now	37	The Blues	2012	1159138	26	3:16	0:31-0:35	"""I've had to work for everything"""	https://open.spotify.com/track/6O2Za3RsMMm2KUMtREiW8H?si=3bc5519637c44f83	excerpts_audio/EXCE-070.mp3	19/3/2025	
