Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Rhythm	Melody	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	annotations	Age_at_recording
VOX-102	K	Growling_V	Avenged Sevenfold	Thin and Thin	"""I'll be there for you"""				200	4/4	EXCE-060	audio/VOX-102.wav	Geoffrey Uhal	20250529				
VOX-103	K	Clean	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-103.wav	Geoffrey Uhal	20250529				
VOX-104	K	Clean_FLAT	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-104.wav	Geoffrey Uhal	20250529				
VOX-105	K	Screaming_NV	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-105.wav	Geoffrey Uhal	20250529				
VOX-106	K	Screaming_V	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-106.wav	Geoffrey Uhal	20250529				
VOX-107	K	Growling_NV	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-107.wav	Geoffrey Uhal	20250529				
VOX-108	K	Growling_V	Architects	They'll be Hanging Us Tonight	"""They're gaining on us"""				153	3/4	EXCE-066	audio/VOX-108.wav	Geoffrey Uhal	20250529				
VOX-109	K	Clean	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-109.wav	Geoffrey Uhal	20250529				
VOX-110	K	Clean_FLAT	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-110.wav	Geoffrey Uhal	20250529				
VOX-111	K	Screaming_NV	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-111.wav	Geoffrey Uhal	20250529				
VOX-112	K	Screaming_V	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-112.wav	Geoffrey Uhal	20250529				
VOX-113	K	Growling_NV	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-113.wav	Geoffrey Uhal	20250529				
VOX-114	K	Growling_V	Cradle of Filth	I Am the Thorn	"""Of Judas in the dozens"""				180	4/4	EXCE-081	audio/VOX-114.wav	Geoffrey Uhal	20250529				
VOX-115	K	Clean	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-115.wav	Geoffrey Uhal	20250529				
VOX-116	K	Clean_FLAT	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-116.wav	Geoffrey Uhal	20250529				
VOX-117	K	Screaming_NV	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-117.wav	Geoffrey Uhal	20250529				
VOX-118	K	Screaming_V	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-118.wav	Geoffrey Uhal	20250529				
VOX-119	K	Growling_NV	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-119.wav	Geoffrey Uhal	20250529				
VOX-120	K	Growling_V	August Burns Red	Too Late for Roses	"""To soften her descent"""				160	4/4	EXCE-156	audio/VOX-120.wav	Geoffrey Uhal	20250529				
VOX-121	K	Clean	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-121.wav	Geoffrey Uhal	20250529				
VOX-122	K	Clean_FLAT	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-122.wav	Geoffrey Uhal	20250529				
VOX-123	K	Screaming_NV	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-123.wav	Geoffrey Uhal	20250529				
VOX-124	K	Screaming_V	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-124.wav	Geoffrey Uhal	20250529				
VOX-125	K	Growling_NV	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-125.wav	Geoffrey Uhal	20250529				
VOX-126	K	Growling_V	Incantation	From Hollow Sands	"""We are your disease"""				118	4/4	EXCE-034	audio/VOX-126.wav	Geoffrey Uhal	20250529				
VOX-127	K	Clean	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-127.wav	Geoffrey Uhal	20250529				
VOX-128	K	Clean_FLAT	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-128.wav	Geoffrey Uhal	20250529				
VOX-129	K	Screaming_NV	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-129.wav	Geoffrey Uhal	20250529				
VOX-130	K	Screaming_V	Chelsea Grin	Flood Lungs	"""A single light among the void"""				95	6/8	EXCE-088	audio/VOX-130.wav	Geoffrey Uhal	20250529				
