Excerpt_ID	Technique	Artist	Album	Song	Spectral_Centroid	Duration_ms
EXCE-161	Screaming	August Burns Red	Found In Far Away Places	Separating The Seas	3449.5579683344217	2237.19
EXCE-162	Screaming	August Burns Red	Found In Far Away Places	Broken Promises	3654.4259329106617	3578.39
EXCE-163	Screaming	Parkway Drive	Killing With A Smile	Blackout	3734.385745748213	3339.07
EXCE-164	Screaming	Parkway Drive	Killing With A Smile	Picture Perfect, Pathetic	3343.2198159921213	4879.43
EXCE-165	Screaming	Parkway Drive	Killing With A Smile	A Cold Day in Hell	2911.60038020945	2875.53
EXCE-166	Screaming	Parkway Drive	Deep Blue	Set To Destroy	2875.736964530858	2052.52
EXCE-167	Screaming	Parkway Drive	Deep Blue	Pressures	3135.2315208803193	2560.95
EXCE-168	Screaming	Parkway Drive	Deep Blue	Hollow	2972.68594196634	3109.64
EXCE-169	Screaming	Parkway Drive	Atlas	Snake Oil and Holy Water	3400.9441346985873	3157.1
EXCE-170	Screaming	Parkway Drive	Atlas	Atlas	3120.92027410066	3575.6
EXCE-171	Screaming	Parkway Drive	Atlas	Sleight of Hand	2928.8829415804807	2074.97
EXCE-172	Clean	Northlane	Mesmer	Paragon	2603.9897062258165	6348.1
EXCE-173	Clean	Northlane	Mesmer	Render	2779.6569132443765	3532.11
EXCE-174	Clean	Northlane	Mesmer	Zero-One	2694.290500530744	7004.15
EXCE-175	Clean	Northlane	Node	Ra	2537.216193605251	3251.68
EXCE-176	Clean	Northlane	Node	Animate	2174.5892340895048	6955.15
EXCE-177	Clean	Northlane	Node	Weightless	2764.2812400331627	3945.46
EXCE-178	Clean	Northlane	Discoveries	Solitude	3573.9704091509043	7927.73
EXCE-179	Screaming	Northlane	Discoveries	Metamorphosis	4093.9106862741414	4420.39
EXCE-180	Screaming	Northlane	Discoveries	Corruption	4003.753854989109	4800.34
EXCE-181	Screaming	The Black Dahlia Murder	Abysmal	The Advent	2931.4465040580612	4627.78
EXCE-182	Screaming	The Black Dahlia Murder	Abysmal	The Fog	3432.5707542091063	3075.28
EXCE-183	Screaming	The Black Dahlia Murder	Abysmal	Asylum	3580.8573748247372	2896.37
EXCE-184	Growling	The Black Dahlia Murder	Abysmal	Stygiophobic	2993.400768952838	4347.17
EXCE-185	Screaming	The Black Dahlia Murder	Verminous	The Leather Apron's Scorn	3405.1912278817745	2948.75
EXCE-186	Screaming	The Black Dahlia Murder	Verminous	How Very Dead	3430.870023397645	2335.87
EXCE-187	Screaming	The Black Dahlia Murder	Verminous	Dawn of Rats	3290.2056057145987	3818.46
EXCE-188	Growling	The Black Dahlia Murder	Verminous	Godlessly	3433.7562713604075	2722.11
