Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-035	Growling	Incantation	Vanquish in Vengeance	8	Haruspex	2012	24857	4	3:56	1:17-1:23	7119.55	"""the fleshy confines of humanity"""	8 4. [4. 4.] 4r. 4r. 4. 4. 4 8 4 8 4	Contour: low1 low2 low2 low1 low2 low2 low2 low2 low2 low2 	6/8	158	3527.156423	https://open.spotify.com/track/1f9NE24Wg5Betmu2qyYPvr?si=e0692c6ed52f4c28	excerpts_audio/EXCE-035.mp3	16/3/2025
EXCE-036	Growling	Incantation	Vanquish in Vengeance	8	Profound Loathing	2012	22304	4	8:01	6:33-6:37	4149.68	"""A terroristic holocaust"""	8q 8 8 8 8 8 8 4	Contour: low low low low low low low low	3/4	102	3474.001774	https://open.spotify.com/track/3CVcwfrKugrL5NPsuTPZiW?si=21c2e2df30a047e1	excerpts_audio/EXCE-036.mp3	16/3/2025
EXCE-037	Growling	Morbid Angel	Abominations of Desolation	17	Abominations	1991	63524	10	4:19	2:51-2:54	3461.09	"""Bow down before the master"""	8 8 16 8 16 8 8	Contour: low low low low low low low	4/4	140	3386.535904	https://open.spotify.com/track/6ZsmeNVxrow8hWlU5m4t0H?si=0ce19b5a80974ea7	excerpts_audio/EXCE-037.mp3	16/3/2025
EXCE-038	Growling	Morbid Angel	Abominations of Desolation	17	The Gate / Lord of All Fevers	1991	77074	11	5:54	1:51-1:53	1923.2	"""Praise the ripping sky"""	4 8. 8 8 8 16r	Contour: low low low low low	4/4	145	3293.656801	https://open.spotify.com/track/4n8Tm8EXXzfMsxGYUrdBvG?si=9d03edb5f2a245c5	excerpts_audio/EXCE-038.mp3	16/3/2025
EXCE-039	Screaming	Morbid Angel	Abominations of Desolation	17	Hell Spawn	1991	76662	11	2:32	2:10-2:13	2781.25	"""I am the Hell spawn"""	16 8 16 8 4	Contour: medium medium low medium medium	4/4	135	3657.879661	https://open.spotify.com/track/0YbHQbAn6clvLbPH1HRcFM?si=b565822d68f84678	excerpts_audio/EXCE-039.mp3	16/3/2025
EXCE-040	Screaming	Morbid Angel	Heretic	24	Stricken Arise	2003	150308	15	4:10	3:53-3:57	2900.16	"""Thriving in their Hate"""	4 4 4 4 2	Contour: high low low low low 	4/4	190	2929.273614	https://open.spotify.com/track/3e6Y5sobRRDlwLPggy76mV?si=1be194f24b1f4788	excerpts_audio/EXCE-040.mp3	16/3/2025
EXCE-041	Growling	Morbid Angel	Heretic	24	Within Thy Enemy	2003	90190	12	3:17	1:05-1:09	4474.78	"""From within this seething comes"""	4 4 4 4 4 4 2	Contour: low low low low low low low	4/4	221	3009.511902	https://open.spotify.com/track/1E7clOgN5A82cGYXvubajR?si=24e1d2b0e15b4a4d	excerpts_audio/EXCE-041.mp3	16/3/2025
EXCE-042	Growling	Morbid Angel	Heretic	24	God Of Our Own Divinity	2003	112616	13	6:21	4:43-4:46	3089.46	"""Break apart thiss rusty chains"""	8 8 4 4 8 8 4	Contour: low low low low low low low 	3/4	140	3093.899556	https://open.spotify.com/track/5LJ0OlmgSIXNVyMQTeij3f?si=986765c9384d46d0	excerpts_audio/EXCE-042.mp3	16/3/2025
EXCE-043	Growling	Morbid Angel	Kingdoms Disdained	25	From the Hand of Kings	2017	216890	14	4:02	3:05-3:10	5361.7	"""Empires and nations fall"""	2 2 2 2r. 4 4 4 4	Contour: low low low high low low low	4/4	210	3358.306187	https://open.spotify.com/track/1Nsh8M0Pck7u4Y3mAwRbjk?si=46693f6caf1149b3	excerpts_audio/EXCE-043.mp3	16/3/2025
EXCE-044	Growling	Morbid Angel	Kingdoms Disdained	25	The Fall of Idols	2017	201836	14	4:48	2:46-2:49	2671.95	"""You swore to be the shelter"""	4 4 4 4 4 4 4 	Contour: low low low low low medium low	4/4	225	4056.930194	https://open.spotify.com/track/7pOfkJuCyoPabkVEk76Gdv?si=008bf6e70b6c439b	excerpts_audio/EXCE-044.mp3	16/3/2025
EXCE-045	Growling	Morbid Angel	Kingdoms Disdained	25	For No Master	2017	266232	15	3:28	3:03-3:07	3843.2	"""No prayer will yield our cleansing"""	4. [4. 4] 8 4. 4. 4. 4.	Contour: medium low low low low low low 	6/8	150	3392.973476	https://open.spotify.com/track/2tJpi9hWvUaia3S2xlalcX?si=f1adf1daaa90451e	excerpts_audio/EXCE-045.mp3	16/3/2025
